name,cent_dgr,cent_btw,cent_cls,cent_egn,cent_wgt
국민권익위원회,22,48,0.07692307692307693,1,0.22888185543801537
김영란,10,3.5,0.05263157894736842,0.6879321932789909,0.10999146324090255
정무위원회,12,13.5,0.05555555555555555,0.7209313835654307,0.12093533425705588
법무부,4,0,0.043478260869565216,0.38284972167070386,0.059729727449016994
법안심사소위원회,6,0,0.047619047619047616,0.5463683633796013,0.06720732088912397
이성보,2,0,0.041666666666666664,0.22681581831019926,0.05090649001437802
국제투명성기구,2,0,0.041666666666666664,0.2268158183101993,0.04995281561671962
법제사법위원회,4,0,0.04545454545454545,0.39033446001909666,0.05570316518331108
새정치민주연합,4,0,0.04545454545454545,0.3903344600190967,0.05570316518331107
이명박,4,0,0.043478260869565216,0.3828497216707039,0.05317292442239902
청와대,2,0,0.041666666666666664,0.22681581831019926,0.048999141219061224
더불어민주당,2,0,0.041666666666666664,0.22681581831019926,0.048999141219061224
김용태,2,0,0.034482758620689655,0.1635186417088974,0.049817455867644106
