topic,term,beta
5,안전,9.728422744469161e-14
6,안전,2.2197226716357645e-7
7,안전,1.3804935004110427e-29
8,안전,0.0015089716778716195
9,안전,0.004243401267234426
1,국민,0.001988398208101882
2,국민,0.006263396255592348
3,국민,0.0111212881644074
4,국민,0.010507885799842184
5,국민,0.006247245021645518
6,국민,0.013784270078364611
7,국민,0.003073991042725318
8,국민,0.002146144197616953
9,국민,0.011391584398993817
1,투자,2.9325972747703654e-10
2,투자,9.736690413980858e-16
3,투자,0.005568316242158886
4,투자,0.0023951546801376246
5,투자,1.0629962317690426e-4
6,투자,0.0020416942060914895
7,투자,0.0010458070725518165
8,투자,3.619767957082834e-4
9,투자,0.0011286152931516695
1,펀드,6.823951901487893e-18
2,펀드,3.4483408619161023e-15
3,펀드,0.005670434250717227
4,펀드,0.0025237922615081697
5,펀드,2.3206027276231294e-33
6,펀드,4.545718600832793e-51
7,펀드,2.63292854793049e-85
8,펀드,3.964966833374877e-29
9,펀드,8.25672176030631e-183
1,부동산,0.003218546814334606
2,부동산,0.005896497449605132
3,부동산,0.0219320888240202
4,부동산,0.007127343221521978
5,부동산,8.184219174520511e-20
6,부동산,1.7790531040183513e-4
7,부동산,0.025782583225581572
8,부동산,0.0025818035655851687
9,부동산,9.003146495546495e-16
1,뇌물,1.5552454951339942e-4
2,뇌물,1.1272938765423327e-21
3,뇌물,1.9771851647282167e-4
4,뇌물,7.523483334499145e-4
5,뇌물,0.00521972620673076
6,뇌물,3.190420903406012e-4
7,뇌물,1.7314236474882117e-7
8,뇌물,3.4798909850088035e-4
9,뇌물,0.0030424797074720383
1,겸직,1.3490767828706375e-59
2,겸직,9.719577570544898e-174
3,겸직,4.935238549556728e-177
4,겸직,3.2518182187274e-4
5,겸직,8.598493843562464e-30
6,겸직,1.480215570668337e-179
7,겸직,8.974437368520396e-184
8,겸직,0.004521048606947419
9,겸직,1.1512723184786758e-12
1,불평,6.68903898796523e-49
2,불평,7.642089946958068e-75
3,불평,8.11532456929967e-31
4,불평,5.683606100971674e-180
5,불평,7.090292413585154e-25
6,불평,1.4153546003712827e-180
7,불평,3.030380272693765e-32
8,불평,2.687494659471393e-183
9,불평,0.0022407679403008787
1,가상,3.305976253415517e-14
2,가상,5.925771621811292e-188
3,가상,1.3558123618578044e-184
4,가상,6.898546475804017e-185
5,가상,6.684659784517335e-191
6,가상,0.005386184979897171
7,가상,7.328450383505868e-45
8,가상,1.9708962376167963e-44
9,가상,9.25193091788996e-187
1,법률,0.001360396076560472
2,법률,0.001429245652672961
3,법률,1.8901372198989892e-7
4,법률,8.104443790945768e-4
5,법률,0.00648769247688436
6,법률,0.0025962445665924077
7,법률,7.77486793880704e-4
8,법률,4.959746933961347e-4
9,법률,6.446153923663503e-4
1,연구,3.657038859063729e-20
2,연구,2.2225689739155307e-33
3,연구,2.763598493443981e-12
4,연구,1.0958238279756258e-6
5,연구,5.611014142230267e-4
6,연구,0.0011134391026007022
7,연구,6.916923938785886e-29
8,연구,1.6631801534437974e-7
9,연구,0.0029676940931516738
1,대통령,3.051808273286835e-4
2,대통령,5.551460758468977e-13
3,대통령,0.030875297066351146
4,대통령,1.1633464874225853e-11
5,대통령,7.158593140215603e-4
6,대통령,0.002668312912826718
7,대통령,5.9262281108227305e-6
8,대통령,4.921533545901988e-8
9,대통령,0.003469400500711998
1,출입,1.936846135633141e-21
2,출입,1.8972521219070009e-7
3,출입,8.971456550307683e-172
4,출입,0.0014717803871716856
5,출입,9.366987063145472e-5
6,출입,0.0015956358700091014
7,출입,2.9338090463618482e-170
8,출입,6.161920393192317e-8
9,출입,1.1332914123833523e-4
1,교수,1.2144776110491789e-8
2,교수,2.397480074890943e-12
3,교수,0.004686281062644233
4,교수,0.002918333501242802
5,교수,8.442559269287585e-4
6,교수,0.0021578717335704947
7,교수,3.7655613101767653e-4
8,교수,6.013532934362558e-4
9,교수,0.0034969460169625554
1,공정,0.0019184153768339231
2,공정,1.3138475331809529e-5
3,공정,0.006136954365974175
4,공정,5.884091291462074e-4
5,공정,2.229449348992191e-4
6,공정,3.3597316151244295e-4
7,공정,9.562969795497704e-9
8,공정,8.990746645191115e-4
9,공정,0.0047437714827145
1,신도시,1.5553165310014976e-36
2,신도시,9.700580975078715e-18
3,신도시,9.604543140359294e-4
4,신도시,1.8272789536640697e-29
5,신도시,6.072172829199935e-55
6,신도시,3.594396001888236e-50
7,신도시,0.0176532723673527
8,신도시,2.2056452803765613e-28
9,신도시,2.2074256316434367e-28
1,수사,5.417899153835654e-4
2,수사,2.9263538028693586e-6
3,수사,0.009964953108675251
4,수사,0.0018779387174549483
5,수사,0.0014179218077029854
6,수사,0.002441465288873749
7,수사,0.005983395121505007
8,수사,0.006049547594561719
9,수사,0.002577608467573061
1,적폐,3.5016246294095894e-36
2,적폐,1.72064873403824e-38
3,적폐,0.005117228673357689
4,적폐,5.943487194903668e-43
5,적폐,9.973765300797046e-31
6,적폐,3.2001693857060766e-9
7,적폐,4.530625323054825e-15
8,적폐,6.782691765460435e-182
9,적폐,7.683969959316643e-20
1,청와대,3.769661602463691e-27
2,청와대,1.2961638877120817e-11
3,청와대,0.01274422077068328
4,청와대,1.0694862995673757e-19
5,청와대,1.9208385708126712e-7
6,청와대,1.6075697661154927e-10
7,청와대,3.2126718962179583e-4
8,청와대,1.10868000402324e-19
9,청와대,3.7417252610029654e-19
1,사회,4.1829997650149213e-13
2,사회,5.883521449329223e-4
3,사회,0.007241526309788354
4,사회,0.001255080582722043
5,사회,0.0064906559727298105
6,사회,0.006130130299962706
7,사회,6.310103080538662e-4
8,사회,1.7465554356487477e-4
9,사회,0.013821142107435043
1,금지법,0.0018556344206847335
2,금지법,0.0014912746211935344
3,금지법,1.0669718314172186e-5
4,금지법,0.0012670995307137523
5,금지법,0.006760589354084598
6,금지법,0.00915321080731298
7,금지법,3.216488991939159e-20
8,금지법,9.758406080540824e-11
9,금지법,2.448293144612875e-4
1,청탁,0.00698611921584684
2,청탁,0.0010725745594433933
3,청탁,1.075178484293958e-18
4,청탁,5.251958887876335e-8
5,청탁,0.008159305472746679
6,청탁,0.010987764496416124
7,청탁,9.580486523496005e-35
8,청탁,2.0800644043038143e-16
9,청탁,0.0013004296562217727
1,부정청탁,0.007799991651402648
2,부정청탁,0.0011059051278480584
3,부정청탁,2.1331092855069568e-10
4,부정청탁,0.002307005941680892
5,부정청탁,0.02125509547242285
6,부정청탁,0.002276574743495958
7,부정청탁,1.0637465796161356e-22
8,부정청탁,1.5897395796533672e-4
9,부정청탁,0.0018438167098835051
1,위원장,3.420183862804747e-4
2,위원장,8.047091141840689e-4
3,위원장,4.371697646298162e-4
4,위원장,6.718822478673294e-16
5,위원장,0.0024785200530921298
6,위원장,0.016927109679683968
7,위원장,9.94232277303861e-4
8,위원장,0.0036903154388214466
9,위원장,2.629899290596648e-13
1,장관,2.0676081020739367e-4
2,장관,5.633182005742801e-14
3,장관,0.009902684659747021
4,장관,0.0010961097818081
5,장관,1.5683057329582396e-8
6,장관,0.0026258418722524893
7,장관,0.0033546836678715357
8,장관,0.007766926088012136
9,장관,6.612657586762751e-17
1,시장,0.0016197004638141134
2,시장,3.3544573755120525e-9
3,시장,0.002821894264093739
4,시장,2.270550867138696e-4
5,시장,1.7329776829573453e-5
6,시장,7.718810745233884e-4
7,시장,0.005090500144967518
8,시장,6.607822012707236e-9
9,시장,0.0010983632520064376
1,달러,1.9647854101695564e-28
2,달러,3.7844524642825807e-174
3,달러,1.0490816034551508e-4
4,달러,1.9717730459387595e-170
5,달러,1.0338384339155193e-4
6,달러,0.002595581097861598
7,달러,1.0398008224167192e-53
8,달러,1.2675757682328582e-4
9,달러,1.3504889074394578e-6
1,윤리,0.0011038518444881408
2,윤리,0.0010945784179664326
3,윤리,0.0019917494760085227
4,윤리,0.001673629039296237
5,윤리,1.4141611221893358e-15
6,윤리,0.0018485797374012123
7,윤리,4.0169421095442084e-4
8,윤리,0.00278271125493232
9,윤리,0.005425445325896266
1,주택,5.055917137555665e-4
2,주택,2.034725945604437e-6
3,주택,2.02843402702073e-4
4,주택,2.5306471194153586e-19
5,주택,7.390432076169197e-11
6,주택,4.533112106923057e-35
7,주택,0.005960144762363976
8,주택,0.0025922892183084566
9,주택,5.142940338891559e-4
1,처남,3.9158170566801014e-27
2,처남,1.0385117903839543e-193
3,처남,0.0021070953378893426
4,처남,6.5092272379035635e-15
5,처남,5.360142776609881e-193
6,처남,2.2674312217112188e-188
7,처남,4.262539606806566e-179
8,처남,1.51094216976656e-39
9,처남,1.4055141841854573e-190
1,관료,2.787731353083289e-4
2,관료,7.697189526040406e-10
3,관료,9.728857067113033e-28
4,관료,5.533922640958787e-34
5,관료,8.334982697628598e-13
6,관료,0.003685562521223023
7,관료,1.4328005188693089e-158
8,관료,1.434028986645265e-16
9,관료,2.0199766072332635e-4
1,법제사법위원회,5.3743538096859056e-14
2,법제사법위원회,0.001868969717524891
3,법제사법위원회,9.084634866495259e-13
4,법제사법위원회,3.2964556257487497e-4
5,법제사법위원회,9.344694602044866e-4
6,법제사법위원회,2.068409070977712e-4
7,법제사법위원회,8.326359936540887e-36
8,법제사법위원회,0.009622206856981981
9,법제사법위원회,5.931817683988614e-18
1,직무,0.022624544016196523
2,직무,0.008200590002748847
3,직무,7.633382364114075e-4
4,직무,3.750023990191123e-4
5,직무,0.005953996121256603
6,직무,0.001488078394310556
7,직무,6.806836397347896e-4
8,직무,8.776522866409298e-4
9,직무,3.7159021697950164e-7
1,더불어민주당,2.252389669197917e-15
2,더불어민주당,0.007851858028282165
3,더불어민주당,0.01430160382198008
4,더불어민주당,0.008562639646898206
5,더불어민주당,2.1984174215745435e-11
6,더불어민주당,6.377901179329912e-13
7,더불어민주당,0.0022927382207885393
8,더불어민주당,0.010415469783943155
9,더불어민주당,1.5056676860370978e-16
1,청산,1.8838795913376046e-24
2,청산,1.509523381780611e-24
3,청산,0.00560693068846432
4,청산,7.692407343183024e-7
5,청산,1.2521683951953358e-4
6,청산,8.207296957794484e-7
7,청산,1.9431189255024277e-4
8,청산,2.094429829114061e-161
9,청산,9.370225473476173e-4
1,기관,0.009263435509792846
2,기관,0.001837102068127181
3,기관,4.262124789242187e-8
4,기관,1.180472047474058e-11
5,기관,1.7603205562746378e-7
6,기관,0.0017385462883901831
7,기관,3.178697373768968e-4
8,기관,7.88588743704726e-4
9,기관,0.005253216770288914
1,재개발,5.902308987980856e-25
2,재개발,1.0992218281380465e-17
3,재개발,7.151698104909991e-184
4,재개발,3.0516651840613766e-187
5,재개발,7.951035301040377e-191
6,재개발,7.658952374838528e-48
7,재개발,4.90009552518473e-10
8,재개발,0.0034916071533320522
9,재개발,4.4156109396579125e-181
1,시행,0.005085109747227493
2,시행,1.0325190167094057e-7
3,시행,2.3465002105057075e-4
4,시행,8.912884712735515e-10
5,시행,0.009495767243754042
6,시행,0.006613150458636246
7,시행,4.646754857631037e-16
8,시행,3.918239802889697e-4
9,시행,1.7451462486161716e-5
1,심사,0.01112514971137953
2,심사,0.00380582852821788
3,심사,1.121215588581603e-9
4,심사,3.1805823209185753e-4
5,심사,1.0513377717216408e-4
6,심사,0.0016072792271228735
7,심사,5.225084795289913e-12
8,심사,0.004504738624333191
9,심사,4.5154847938394233e-7
1,처리,0.00111420088745788
2,처리,0.016661312777169975
3,처리,0.0020485580515130627
4,처리,0.001036196654568042
5,처리,0.0021600451120270393
6,처리,0.00182674266210202
7,처리,0.0011741113508892407
8,처리,0.002591437341650702
9,처리,8.192949088499852e-8
1,신탁,0.006362177322738563
2,신탁,1.1603893996952498e-15
3,신탁,3.302215274239489e-11
4,신탁,2.566048150531383e-14
5,신탁,2.2162440585089248e-44
6,신탁,2.1140458135983936e-30
7,신탁,3.6467661134231677e-7
8,신탁,7.740849470767645e-4
9,신탁,4.752552279300246e-25
1,자녀,1.0767630173967649e-8
2,자녀,0.001337191997934606
3,자녀,9.219525768604173e-4
4,자녀,0.0012018600665897646
5,자녀,4.5442406560036594e-4
6,자녀,5.068685242124718e-4
7,자녀,4.6206375048738927e-4
8,자녀,8.196142918536672e-7
9,자녀,0.0020884233397793907
1,구체,0.0035319647187894336
2,구체,8.048493918551598e-4
3,구체,4.363551013082981e-4
4,구체,0.001980771059328076
5,구체,8.159442900253332e-4
6,구체,8.411466739425654e-4
7,구체,7.893323679263235e-5
8,구체,0.0025209229171528885
9,구체,1.5097007861628847e-5
1,공직,0.0027495494071800106
2,공직,0.0026425881205887005
3,공직,0.0019586170656583067
4,공직,7.605845416970949e-4
5,공직,0.003223361603132554
6,공직,0.0030855986201740776
7,공직,4.073037404843699e-4
8,공직,2.3242235788064908e-4
9,공직,0.009846109427558604
1,이해,0.009109726959980323
2,이해,0.0017005168430907728
3,이해,0.0017709077469503542
4,이해,0.0025220551641793217
5,이해,0.003279821787572624
6,이해,0.0013019700780445337
7,이해,7.625677014964764e-4
8,이해,0.0016088548225393837
9,이해,6.457401155088343e-4
1,충돌방지,0.0072121793443344125
2,충돌방지,0.0014927879894809154
3,충돌방지,0.001074252689823518
4,충돌방지,0.0010681512633144992
5,충돌방지,0.0026134939612987326
6,충돌방지,5.07052637353058e-4
7,충돌방지,6.041320277090744e-4
8,충돌방지,7.177300973940046e-4
9,충돌방지,1.8028054263245635e-05
1,운용,5.295917504742568e-4
2,운용,2.374172418405671e-22
3,운용,0.003063799394213936
4,운용,1.9651205636519984e-12
5,운용,2.4633675640346124e-4
6,운용,4.702815993444626e-42
7,운용,3.43850309166053e-169
8,운용,2.050215571956619e-29
9,운용,1.6202650150170343e-4
1,대표,3.868612675842942e-4
2,대표,0.0013371383085112377
3,대표,0.004155607262397654
4,대표,0.008592988171011938
5,대표,6.968359145707166e-4
6,대표,3.168568217727335e-5
7,대표,0.0016496212402515398
8,대표,0.008587573686154641
9,대표,9.985979430699662e-4
1,개발,9.111782369314386e-4
2,개발,2.9075257837288293e-8
3,개발,0.0010339772593099884
4,개발,8.743469086125642e-4
5,개발,4.6468333555715194e-7
6,개발,3.394665575718189e-4
7,개발,0.00647907813715495
8,개발,6.540881215922945e-4
9,개발,6.236371648035709e-6
1,정부,0.0011979764751180889
2,정부,0.0064298414703244456
3,정부,0.01504581787327055
4,정부,3.5360369113305787e-4
5,정부,0.004360319074705844
6,정부,0.008334746223083122
7,정부,0.00886575916483539
8,정부,2.632356191437362e-7
9,정부,0.01557321029480829
1,통화,1.825553360205127e-6
2,통화,8.573463283928005e-4
3,통화,0.0016382691743150862
4,통화,4.5730560342140505e-4
5,통화,1.353794113943007e-11
6,통화,0.002408671800585196
7,통화,6.210827517787024e-37
8,통화,0.0013082466761252711
9,통화,1.878356185837029e-29
1,화폐,2.5276705371724515e-19
2,화폐,6.080652009113159e-179
3,화폐,1.5948490883732433e-30
4,화폐,7.826782964840253e-25
5,화폐,4.683114136561369e-25
6,화폐,0.0030029879301462794
7,화폐,2.524916473741855e-6
8,화폐,1.0261336709446513e-48
9,화폐,1.658395862402888e-5
1,시험,3.574326217564147e-6
2,시험,3.058149151003974e-4
3,시험,6.834966589130105e-174
4,시험,1.8583903502770727e-37
5,시험,8.989090880923069e-5
6,시험,0.0018515010868688279
7,시험,2.8665130033620334e-77
8,시험,1.0492938430014649e-142
9,시험,2.664088039143594e-171
1,국회의원,1.9625648300527555e-4
2,국회의원,0.011294511735163723
3,국회의원,0.002092324145790952
4,국회의원,0.02440166964535659
5,국회의원,0.00587579094467676
6,국회의원,2.0703761578375632e-4
7,국회의원,8.699124343561748e-10
8,국회의원,0.007965843020108337
9,국회의원,0.0010404332116590517
1,대상,0.005421962883634512
2,대상,0.007224493084537081
3,대상,4.6152801044528765e-4
4,대상,3.054650029571026e-4
5,대상,0.012727250488634748
6,대상,0.002337169674655628
7,대상,0.0037992541981784903
8,대상,5.5300378390692e-5
9,대상,0.0011326758037600632
1,김영란법,0.0019887847891838207
2,김영란법,0.004152735489359992
3,김영란법,3.125111468160133e-4
4,김영란법,0.004498204462725092
5,김영란법,0.02881627346687253
6,김영란법,0.004571810231572242
7,김영란법,2.4607263794879234e-23
8,김영란법,2.1917377042094997e-6
9,김영란법,0.0010767004812648733
1,인맥,5.730818578728118e-13
2,인맥,1.794892050655112e-57
3,인맥,5.061174804324797e-131
4,인맥,3.099172996657868e-26
5,인맥,5.454116724887404e-21
6,인맥,3.3830160525739867e-4
7,인맥,3.131739892921126e-181
8,인맥,4.716852035540681e-178
9,인맥,0.0015319903689226992
1,백지,0.006791426277382079
2,백지,1.1393107353490885e-14
3,백지,1.820845037045296e-10
4,백지,1.1541776393224472e-14
5,백지,6.497860421065936e-45
6,백지,3.1195391641359547e-31
7,백지,6.4028403561213374e-9
8,백지,8.301703765331444e-4
9,백지,9.841653584604927e-26
1,행위,0.005420021307407386
2,행위,0.004240780791176777
3,행위,0.0014255743094884398
4,행위,0.0021037290983083627
5,행위,0.004360197772955828
6,행위,0.003014944461776354
7,행위,0.004820098731950474
8,행위,8.594491232069422e-4
9,행위,6.174928789398422e-4
1,막말,4.521435423847585e-197
2,막말,1.8967964749762196e-195
3,막말,3.8063148160565893e-137
4,막말,0.0015460244443550482
5,막말,7.625282545563287e-198
6,막말,2.027816221811909e-194
7,막말,6.488638002214686e-196
8,막말,5.721297744068294e-194
9,막말,1.0894205709531754e-89
1,변호사,2.763287566505511e-4
2,변호사,7.070543933461184e-14
3,변호사,0.0022396835088774533
4,변호사,0.0010251401529130532
5,변호사,3.373730115914169e-4
6,변호사,0.004100512607749209
7,변호사,0.00210292284863973
8,변호사,5.093194211051176e-4
9,변호사,0.0011676995132187003
1,농협,3.3484967893078047e-37
2,농협,3.842091112987018e-46
3,농협,1.6858513530003947e-24
4,농협,2.7026103683068984e-27
5,농협,1.8776519752819044e-53
6,농협,0.0021869769899134765
7,농협,1.3928229858881712e-4
8,농협,1.960999427450671e-89
9,농협,8.048575027258001e-32
1,개정,0.004572651903683945
2,개정,7.371617855888117e-4
3,개정,3.2816243163742936e-4
4,개정,0.0028397284926157174
5,개정,0.003421141765503533
6,개정,0.0046750817092358595
7,개정,5.802735262882223e-4
8,개정,0.0015288843946245998
9,개정,6.435530754477703e-4
1,문제,0.00114256458495029
2,문제,3.6634735503314163e-7
3,문제,0.007346241514592985
4,문제,0.008608088770737439
5,문제,0.005550091291027969
6,문제,0.0041494924076631015
7,문제,0.001232930294070178
8,문제,0.010808757470116618
9,문제,0.008464650712434563
1,퇴직,0.008625078340145986
2,퇴직,4.2622933025310614e-4
3,퇴직,1.7280098840570477e-135
4,퇴직,4.5508883169308286e-41
5,퇴직,3.841247948442498e-15
6,퇴직,0.00498010404725427
7,퇴직,1.791595254582978e-4
8,퇴직,5.133808952121296e-32
9,퇴직,2.2518318080540268e-7
1,목포,1.9868991595980982e-11
2,목포,7.198135985706981e-4
3,목포,7.551511963572253e-24
4,목포,0.006315776196162853
5,목포,8.014816706281104e-29
6,목포,2.2524299290862594e-27
7,목포,2.1071184544608815e-25
8,목포,3.750431513934796e-4
9,목포,7.079196279631877e-42
1,대법원,4.5126115461674907e-20
2,대법원,3.315852477010803e-171
3,대법원,0.0026742605843524943
4,대법원,5.043852253662953e-9
5,대법원,1.1236542468361088e-4
6,대법원,2.1966583197782502e-10
7,대법원,4.643634485216893e-47
8,대법원,5.7065818330061704e-30
9,대법원,2.343807456372109e-4
1,조사,0.0014816838751557206
2,조사,1.2278994768820034e-8
3,조사,0.005833429750883875
4,조사,0.0018109465863382257
5,조사,6.4533875934817e-5
6,조사,0.006056735950498563
7,조사,0.006686596804445734
8,조사,4.354015490784065e-4
9,조사,0.0023928499783077177
1,국토,1.1555343890241115e-20
2,국토,1.2677721863539676e-19
3,국토,4.699229745041655e-30
4,국토,5.092574921487457e-18
5,국토,9.166907014245614e-5
6,국토,2.4449896263196145e-31
7,국토,0.004390184097113203
8,국토,0.009461870171491625
9,국토,5.869291546488675e-6
1,협회,3.390255024151019e-12
2,협회,1.6269690532786169e-177
3,협회,3.089730055873191e-130
4,협회,8.763036419809914e-19
5,협회,1.0569825343570371e-4
6,협회,0.0018228194394675871
7,협회,5.2538774541280905e-177
8,협회,5.237411657630666e-4
9,협회,5.327966208076393e-44
1,사과,1.341805464800144e-176
2,사과,2.2667137272115393e-30
3,사과,0.005622212000314918
4,사과,4.247813430692149e-4
5,사과,8.461775542248283e-30
6,사과,1.6366559456673365e-31
7,사과,4.007690144517447e-4
8,사과,3.418230359019585e-45
9,사과,7.120557469954032e-31
1,재산,0.007333185706711463
2,재산,1.3848241430287119e-15
3,재산,1.451073876019898e-4
4,재산,0.0011913206571868965
5,재산,8.514390669303492e-7
6,재산,0.0011987725470706883
7,재산,0.006423106000749674
8,재산,0.0015446101976789505
9,재산,3.116785540386284e-6
1,조직,8.52917394966453e-18
2,조직,3.8932658731366877e-26
3,조직,1.1657251300711493e-4
4,조직,1.6680972527906684e-15
5,조직,2.3540832804852757e-28
6,조직,2.3319851071982402e-4
7,조직,0.0013492276752368406
8,조직,4.1768099178207544e-13
9,조직,0.0026047402510691285
1,거래,0.0021130381964900276
2,거래,0.0027337191172118456
3,거래,0.0016387899384594728
4,거래,0.00028209233035616713
5,거래,6.589922636544092e-7
6,거래,0.0030455231562244115
7,거래,0.005863628960080588
8,거래,5.265756590169381e-4
9,거래,7.163012739860969e-4
1,원전,3.810327040994045e-151
2,원전,1.2109998405578968e-33
3,원전,5.893872103386005e-17
